,0,1,2,3,4
0,2000.46,1992.48,1982.33,1940.54,1848.16
1,2001.29,1993.54,1984.39,1939.84,1845.38
2,2002.07,1995.04,1982.59,1940.0,1846.26
3,2002.12,1994.16,1983.7,1971.93,1872.7
4,2001.31,1992.28,1985.26,1948.29,1860.91
5,2000.2,1993.15,1983.51,1941.33,1856.02
6,2000.57,1993.44,1983.53,1936.79,1849.63
7,1999.86,1991.76,1981.97,1939.75,1848.36
8,1999.19,1993.16,1982.09,1941.54,1848.2
9,1998.94,1991.9,1986.2,1951.35,1855.72
10,1999.81,1992.91,1983.66,1940.65,1851.91
11,2000.6,1991.31,1980.76,1936.29,1850.79
